timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_2_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s,wl_2_filtered_nm,wl_2_delta_nm,wl_2_strain,wl_2_derivative_nm_per_s
2025-08-27T09:37:39Z,6545.0,6545.625,6207,1538.67561,,1538.67561,0.2794899999998961,0.00023291823748254097,-0.008240000000114378,,,,0.0
2025-08-27T09:37:39Z,6545.0,6545.75,6208,1538.6746,,1538.6746,0.278479999999945,0.00023207653502504315,-0.007400000000416185,,,,0.0
2025-08-27T09:37:39Z,6545.0,6545.875,6209,1538.67376,,1538.67376,0.27763999999979205,0.00023137650525824997,-0.0074400000003151945,,,,0.0
2025-08-27T09:37:39Z,6546.0,6546.0,6210,1538.67274,,1538.67274,0.2766199999998662,0.00023052646911307477,-0.008626666666392113,,,,-1.1102230246251565e-16
2025-08-27T09:37:40Z,6546.0,6546.1,6211,1538.67184,,1538.67184,0.27571999999986474,0.00022977643722021742,-0.009599999999650777,,,,1.1102230246251565e-16
2025-08-27T09:37:40Z,6546.0,6546.2,6212,1538.67082,,1538.67082,0.2746999999999389,0.00022892640107504225,-0.009199999999527142,,,,-1.1102230246251565e-16
2025-08-27T09:37:40Z,6546.0,6546.3,6213,1538.67,,1538.67,0.2738799999999628,0.00022824303868379325,-0.007500000000391527,,,,1.1102230246251565e-16
2025-08-27T09:37:40Z,6546.0,6546.4,6214,1538.66932,,1538.66932,0.27319999999986067,0.0002276763479202168,-0.007200000000014528,,,,-1.1102230246251565e-16
2025-08-27T09:37:40Z,6546.0,6546.5,6215,1538.66856,,1538.66856,0.2724399999999605,0.00022704298765522147,-0.007150000000111678,,,,0.0
2025-08-27T09:37:40Z,6546.0,6546.6,6216,1538.66789,,1538.66789,0.2717699999998331,0.0002264846305793224,-0.006900000000777284,,,,1.1102230246251565e-16
2025-08-27T09:37:40Z,6546.0,6546.7,6217,1538.66718,,1538.66718,0.2710599999998067,0.00022589293875271385,-0.006499999999516559,,,,-1.1102230246251565e-16
2025-08-27T09:37:40Z,6546.0,6546.8,6218,1538.66659,,1538.66659,0.27046999999993204,0.00022540125117861265,-0.006549999999390987,,,,1.1102230246251565e-16
2025-08-27T09:37:40Z,6546.0,6546.9,6219,1538.66587,,1538.66587,0.2697499999999309,0.00022480122566432675,-0.0074500000005215394,,,,-1.1102230246251565e-16
2025-08-27T09:37:40Z,6547.0,6547.0,6220,1538.6651,,1538.6651,0.2689799999998286,0.00022415953171146458,-0.007500000000363771,,,,0.0
2025-08-27T09:37:41Z,6547.0,6547.1,6221,1538.66437,,1538.66437,0.26824999999985266,0.00022355117250950131,-0.007650000000022583,,,,1.1102230246251565e-16
2025-08-27T09:37:41Z,6547.0,6547.2,6222,1538.66357,,1538.66357,0.2674499999998261,0.00022288447749360706,-0.005800000000160788,,,,-1.1102230246251565e-16
2025-08-27T09:37:41Z,6547.0,6547.3,6223,1538.66321,,1538.66321,0.2670899999998255,0.0002225844647364641,-0.004399999999134208,,,,1.1102230246251565e-16
2025-08-27T09:37:41Z,6547.0,6547.4,6224,1538.66269,,1538.66269,0.26657000000000153,0.0002221511129762939,-0.005850000000008793,,,,-1.1102230246251565e-16
