timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s
2025-09-05T14:04:51Z,23573.0,23573.0,6000,1554.78697,1554.7874,0.04398999999989428,3.627443315376417e-05,-0.0024463157902857857
2025-09-05T14:04:51Z,23573.0,23573.11111111111,6001,1554.78698,1554.78732,0.04390999999986889,3.6208464646075396e-05,-0.0018899999992791905
2025-09-05T14:04:51Z,23573.0,23573.222222222223,6002,1554.7874,1554.78698,0.043570000000045184,3.5928098488632464e-05,-0.0015299999991537916
2025-09-05T14:04:51Z,23573.0,23573.333333333332,6003,1554.78732,1554.78698,0.043570000000045184,3.5928098488632464e-05,-0.003375000000570949
2025-09-05T14:04:51Z,23573.0,23573.444444444445,6004,1554.78579,1554.78623,0.04281999999989239,3.530964372912051e-05,-0.005175000000174762
2025-09-05T14:04:51Z,23573.0,23573.555555555555,6005,1554.78623,1554.78583,0.0424199999999928,3.4979801190864126e-05,-0.001980000000166321
2025-09-05T14:04:51Z,23573.0,23573.666666666668,6006,1554.78583,1554.78579,0.04237999999986641,3.494681693692599e-05,-0.00324000000009364
2025-09-05T14:04:52Z,23573.0,23573.777777777777,6007,1554.78511,1554.78511,0.04169999999999163,3.438608462185264e-05,-0.004139999999836608
2025-09-05T14:04:52Z,23573.0,23573.88888888889,6008,1554.7848,1554.78487,0.04145999999991545,3.418817909878632e-05,-0.0013049999997443718
2025-09-05T14:04:52Z,23574.0,23574.0,6009,1554.78482,1554.78482,0.04141000000004169,3.4146948781598014e-05,-0.00031500000023246266
2025-09-05T14:04:52Z,23574.0,23574.11111111111,6010,1554.78487,1554.7848,0.04138999999986481,3.41304566545352e-05,-0.0029250000007053356
2025-09-05T14:04:52Z,23574.0,23574.222222222223,6011,1554.78417,1554.78417,0.040759999999863794,3.361095465665015e-05,-0.004589999999622646
2025-09-05T14:04:52Z,23574.0,23574.333333333332,6012,1554.78378,1554.78378,0.040369999999938955,3.328935818183143e-05,-0.0024300000000348487
2025-09-05T14:04:52Z,23574.0,23574.444444444445,6013,1554.7835,1554.78363,0.04021999999986292,3.3165667229891535e-05,-0.0012599999998831324
2025-09-05T14:04:52Z,23574.0,23574.555555555555,6014,1554.78363,1554.7835,0.040089999999963766,3.305846840501446e-05,-0.0007649999991035938
