timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_2_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s,wl_2_filtered_nm,wl_2_delta_nm,wl_2_strain,wl_2_derivative_nm_per_s
2025-09-12T14:28:15Z,274.0,274.2,1686,1538.62658,1526.31225,1538.62658,0.8598400000000765,0.0007168570796108339,0.9546000000000405,1526.31225,1.5030550000001313,0.0012637604731546481,1.634749999999534
2025-09-12T14:28:15Z,274.0,274.3,1687,1538.72941,1526.48352,1538.72941,0.9626699999998891,0.0008025874637476979,0.9582000000000477,1526.48352,1.6743250000001808,0.0014077633581037951,1.5934500000003249
2025-09-12T14:28:15Z,274.0,274.4,1688,1538.81822,1526.63094,1538.81822,1.0514800000000832,0.0008766292357522239,0.8744500000000812,1526.63094,1.8217450000001918,0.0015317132927052941,1.449149999999788
2025-09-12T14:28:15Z,274.0,274.5,1689,1538.9043,1526.77335,1538.9043,1.137559999999894,0.0009483949798589873,0.9199499999997629,1526.77335,1.964155000000119,0.0016514508465418772,1.4949999999995516
2025-09-12T14:28:15Z,274.0,274.6,1690,1539.00221,1526.92994,1539.00221,1.2354700000000776,0.0010300235115216479,0.8362499999998025,1526.92994,2.12074500000017,0.001783110867293835,1.3215999999999255
2025-09-12T14:28:15Z,274.0,274.7,1691,1539.07155,1527.03767,1539.07155,1.3048099999998612,0.001087832952696815,0.7302999999990538,1527.03767,2.228475000000117,0.0018736896656564171,1.1593000000005027
2025-09-12T14:28:16Z,274.0,274.8,1692,1539.14827,1527.1618,1539.14827,1.3815299999998842,0.0011517951725839508,0.7026500000006344,1527.1618,2.352605000000267,0.001978057494866168,1.138700000000206
2025-09-12T14:28:16Z,274.0,274.9,1693,1539.21208,1527.26541,1539.21208,1.4453399999999874,0.0012049941982748202,0.7953500000007363,1527.26541,2.4562150000001566,0.0020651722196256763,1.231599999999803
2025-09-12T14:28:16Z,275.0,275.0,1694,1539.30734,1527.40812,1539.30734,1.5406000000000404,0.0012844133988281323,0.829300000000142,1527.40812,2.5989250000002357,0.0021851620118315397,1.2476999999998384
2025-09-12T14:28:16Z,275.0,275.1,1695,1539.37794,1527.51495,1539.37794,1.6112000000000535,0.0013432733144176953,0.7024500000000371,1527.51495,2.705755000000181,0.0022749840950866637,1.0570499999994887
2025-09-12T14:28:16Z,275.0,275.2,1696,1539.44783,1527.61953,1539.44783,1.6810900000000402,0.0014015412960119305,0.6371999999999627,1527.61953,2.810335000000123,0.0023629143905731414,0.9403499999997393
2025-09-12T14:28:16Z,275.0,275.3,1697,1539.50538,1527.70302,1539.50538,1.7386400000000322,0.0014495212980257866,0.5958499999997446,1527.70302,2.8938250000001062,0.0024331123287082406,0.8773000000008615
2025-09-12T14:28:16Z,275.0,275.4,1698,1539.567,1527.79499,1539.567,1.8002599999999802,0.001500894499139457,0.5948499999999974,1527.79499,2.98579500000028,0.0025104402047448743,0.8806000000004861
2025-09-12T14:28:16Z,275.0,275.5,1699,1539.62435,1527.87914,1539.62435,1.8576100000000224,0.0015487077591828464,0.49009999999941734,1527.87914,3.069945000000189,0.002581193067292046,0.7384499999998901
