timestamp,time_s,effective_time_s,sample_index,wl_1_nm,wl_1_filtered_nm,wl_1_delta_nm,wl_1_strain,wl_1_derivative_nm_per_s
2025-09-11T13:08:08Z,18681.0,18681.4,4326,1529.62079,1529.62079,0.154109999999946,0.00012918027287580654,-0.4008999999992725
2025-09-11T13:08:08Z,18681.0,18681.5,4327,1529.58082,1529.58082,0.11413999999990665,9.567605182037287e-05,-0.31740000000475305
2025-09-11T13:08:08Z,18681.0,18681.6,4328,1529.55731,1529.55731,0.09062999999991916,7.596916573050422e-05,-0.20969999999936334
2025-09-11T13:08:08Z,18681.0,18681.7,4329,1529.53888,1529.53888,0.07220000000006621,6.052050938709397e-05,-0.1129999999970514
2025-09-11T13:08:08Z,18681.0,18681.8,4330,1529.53471,1529.53471,0.06802999999990789,5.702507276446887e-05,-0.02920000000052203
2025-09-11T13:08:08Z,18681.0,18681.9,4331,1529.53304,1529.53304,0.0663600000000315,5.5625221647171466e-05,-0.012299999999436095
2025-09-11T13:08:08Z,18682.0,18682.0,4332,1529.53225,1529.53225,0.0655699999999797,5.496301662751917e-05,-0.009850000000285575
2025-09-11T13:08:09Z,18682.0,18682.1,4333,1529.53107,1529.53107,0.06439000000000306,5.397390026913563e-05,-0.009199999999570774
2025-09-11T13:08:09Z,18682.0,18682.2,4334,1529.53041,1529.53041,0.06373000000007778,5.342066569585414e-05,-0.005149999999431609
2025-09-11T13:08:09Z,18682.0,18682.3,4335,1529.53004,1529.53004,0.06336000000010245,5.31105190411213e-05,-0.00525000000031195
2025-09-11T13:08:09Z,18682.0,18682.4,4336,1529.52936,1529.52936,0.06268000000000029,5.2540519783650815e-05,-0.006350000000981348
2025-09-11T13:08:09Z,18682.0,18682.5,4337,1529.52877,1529.52877,0.06208999999989828,5.204596160436375e-05,-0.003950000000316534
2025-09-11T13:08:09Z,18682.0,18682.6,4338,1529.52857,1529.52857,0.061889999999948486,5.1878314763998524e-05,-0.0051999999992415336
2025-09-11T13:08:09Z,18682.0,18682.7,4339,1529.52773,1529.52773,0.06105000000002292,5.117419803435022e-05,-0.00474999999922604
