Timestamp	Time [s]	WL 1[nm]	
2025-08-11T13:09:38Z	3466.00000	1555.03651	1537.98391	1524.94735
2025-08-11T13:09:38Z	3466.00000	1555.10168	1538.05834	1524.96911
2025-08-11T13:09:38Z	3466.00000	1555.25015	1538.24003	1524.98741
2025-08-11T13:09:39Z	3466.00000	1555.46746	1538.49549	1525.03960
2025-08-11T13:09:39Z	3466.00000	1555.61964	1538.67749	1525.07025
2025-08-11T13:09:39Z	3466.00000	1555.83621	1538.93653	1525.11272
2025-08-11T13:09:39Z	3466.00000	1555.96796	1539.09235	1525.13855
2025-08-11T13:09:39Z	3467.00000	1556.07016	1539.21770	1525.16109
2025-08-11T13:09:39Z	3467.00000	1556.18315	1539.34996	1525.18488
2025-08-11T13:09:39Z	3467.00000	1556.28391	1539.47341	1525.21010
2025-08-11T13:09:39Z	3467.00000	1556.42394	1539.63534	1525.24605
2025-08-11T13:09:40Z	3467.00000	1556.49410	1539.71365	1525.26310
2025-08-11T13:09:40Z	3467.00000	1556.56369	1539.79979	1525.28194
2025-08-11T13:09:40Z	3467.00000	1556.61648	1539.86269	1525.29560
2025-08-11T13:09:40Z	3467.00000	1556.66427	1539.91685	1525.30690
2025-08-11T13:09:40Z	3467.00000	1556.71507	1539.98081	1525.31833
2025-08-11T13:09:40Z	3468.00000	1556.75494	1540.02624	1525.32738
2025-08-11T13:09:40Z	3468.00000	1556.78886	1540.06835	1525.33421
2025-08-11T13:09:40Z	3468.00000	1556.82481	1540.10970	1525.34254
2025-08-11T13:09:40Z	3468.00000	1556.87285	1540.16628	1525.35244
2025-08-11T13:09:41Z	3468.00000	1556.89218	1540.19076	1525.35696
2025-08-11T13:09:41Z	3468.00000	1556.91163	1540.21412	1525.36067
2025-08-11T13:09:41Z	3468.00000	1556.92680	1540.23298	1525.36420
2025-08-11T13:09:41Z	3468.00000	1556.93870	1540.24744	1525.36683
2025-08-11T13:09:41Z	3468.00000	1556.94903	1540.25691	1525.36866
2025-08-11T13:09:41Z	3469.00000	1556.95756	1540.26809	1525.37067
2025-08-11T13:09:41Z	3469.00000	1556.96576	1540.28074	1525.37238
2025-08-11T13:09:41Z	3469.00000	1556.97445	1540.28901	1525.37357
2025-08-11T13:09:41Z	3469.00000	1556.98339	1540.29968	1525.37593
2025-08-11T13:09:42Z	3469.00000	1556.98583	1540.30341	1525.37610
2025-08-11T13:09:42Z	3469.00000	1556.99070	1540.30927	1525.37705
2025-08-11T13:09:42Z	3469.00000	1556.99400	1540.31193	1525.37746
2025-08-11T13:09:42Z	3469.00000	1556.99738	1540.31536	1525.37798
2025-08-11T13:09:42Z	3469.00000	1556.99951	1540.32047	1525.37871
2025-08-11T13:09:42Z	3470.00000	1557.00169	1540.32335	1525.37894
2025-08-11T13:09:42Z	3470.00000	1557.00480	1540.32636	1525.38005
2025-08-11T13:09:42Z	3470.00000	1556.22401	1539.41008	1525.16784
2025-08-11T13:09:42Z	3470.00000	1555.64187	1538.70944	1525.09789
2025-08-11T13:09:43Z	3470.00000	1555.48975	1538.52240	1525.05214
2025-08-11T13:09:43Z	3470.00000	1555.34790	1538.35665	1525.02239
2025-08-11T13:09:43Z	3470.00000	1555.23022	1538.22050	1524.99405
2025-08-11T13:09:43Z	3470.00000	1555.12131	1538.08884	1524.96766
2025-08-11T13:09:43Z	3470.00000	1555.05819	1538.01272	1524.94980
2025-08-11T13:09:43Z	3471.00000	1555.05949	1538.01359	1524.95395
2025-08-11T13:09:43Z	3471.00000	1555.05647	1538.01067	1524.95132
2025-08-11T13:09:43Z	3471.00000	1555.05534	1538.00898	1524.95129
2025-08-11T13:09:43Z	3471.00000	1555.05444	1538.00926	1524.95185
2025-08-11T13:09:43Z	3471.00000	1555.05356	1538.00806	1524.95182
2025-08-11T13:09:44Z	3471.00000	1555.05221	1538.00649	1524.95099
2025-08-11T13:09:44Z	3471.00000	1555.05155	1538.00557	1524.95113
2025-08-11T13:09:44Z	3471.00000	1555.05125	1538.00429	1524.95087
2025-08-11T13:09:44Z	3471.00000	1555.05042	1538.00338	1524.95102
2025-08-11T13:09:44Z	3472.00000	1555.05062	1538.00381	1524.95093
2025-08-11T13:09:44Z	3472.00000	1555.05009	1538.00275	1524.95031
2025-08-11T13:09:44Z	3472.00000	1555.04958	1538.00184	1524.95057
2025-08-11T13:09:44Z	3472.00000	1555.04930	1538.00254	1524.95061
2025-08-11T13:09:45Z	3472.00000	1555.04933	1538.00209	1524.95052
