Timestamp	Time [s]	WL 1[nm]	
2025-09-09T12:57:44Z	150.00000	1555.14688	1538.83779	1524.83549
2025-09-09T12:57:44Z	151.00000	1555.32714	1539.16169	1524.97799
2025-09-09T12:57:45Z	151.00000	1555.45536	1539.37969	1525.07145
2025-09-09T12:57:45Z	151.00000	1555.59431	1539.61620	1525.17876
2025-09-09T12:57:45Z	151.00000	1555.73237	1539.86460	1525.27848
2025-09-09T12:57:45Z	151.00000	1555.84641	1540.07798	1525.37236
2025-09-09T12:57:45Z	151.00000	1555.97860	1540.30798	1525.46966
2025-09-09T12:57:45Z	151.00000	1556.08476	1540.48576	1525.54975
2025-09-09T12:57:45Z	151.00000	1556.17201	1540.64979	1525.61954
2025-09-09T12:57:45Z	151.00000	1556.33955	1540.94874	1525.75237
2025-09-09T12:57:45Z	152.00000	1556.43235	1541.10263	1525.81601
2025-09-09T12:57:46Z	152.00000	1556.49283	1541.20542	1525.87004
2025-09-09T12:57:46Z	152.00000	1556.57152	1541.33666	1525.92288
2025-09-09T12:57:46Z	152.00000	1556.62680	1541.45084	1525.96707
2025-09-09T12:57:46Z	152.00000	1556.67498	1541.53406	1526.00494
2025-09-09T12:57:46Z	152.00000	1556.71912	1541.58863	1526.02922
2025-09-09T12:57:46Z	152.00000	1556.75991	1541.67845	1526.06958
2025-09-09T12:57:46Z	152.00000	1556.79224	1541.73746	1526.09443
2025-09-09T12:57:46Z	152.00000	1556.81438	1541.77805	1526.11133
2025-09-09T12:57:46Z	152.00000	1556.82738	1541.81941	1526.12114
2025-09-09T12:57:46Z	153.00000	1556.84500	1541.85077	1526.13439
2025-09-09T12:57:47Z	153.00000	1556.86013	1541.87749	1526.14567
2025-09-09T12:57:47Z	153.00000	1556.88921	1541.90473	1526.15709
2025-09-09T12:57:47Z	153.00000	1556.90085	1541.92555	1526.16569
2025-09-09T12:57:47Z	153.00000	1556.91083	1541.94374	1526.17316
2025-09-09T12:57:47Z	153.00000	1556.92279	1541.96573	1526.18208
2025-09-09T12:57:47Z	153.00000	1556.93022	1541.99606	1526.18762
2025-09-09T12:57:47Z	153.00000	1556.93568	1542.00583	1526.19167
2025-09-09T12:57:47Z	153.00000	1556.94613	1542.02454	1526.19955
2025-09-09T12:57:47Z	154.00000	1556.95105	1542.03311	1526.20320
